title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes
Diver Cracks Egg at 45 ft Deep #Shorts,2022-01-06T00:55:37Z,UCk2s_j0cbkWy7bXRV3NLfZQ,Shanger Danger,22,2022-01-25T00:00:00Z,hawaii|hunting|diving|spearfishing|fishing|harvesting|farming|farm|harvest|hunt|deer|boar|ahi|tuna|poke|oahu|big island|lanai|molokai,60780874,3610443,0
My hidden talent #shorts,2021-10-09T20:14:58Z,UCiJUp_NBW2D_UMQIvq2nlPg,Zach King Shorts,23,2021-10-16T00:00:00Z,shorts|#shorts|zach king|magic|tiktok|dance|fergie|trend|behind the scenes,60763502,1990431,34616
I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,2022-12-31T00:00:00Z,[None],60696368,3030544,0
NCT DREAM 엔시티 드림 '맛 (Hot Sauce)' MV,2021-05-10T09:02:33Z,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,10,2021-05-13T00:00:00Z,[None],60675112,2026473,23490
"AMONG US, but with 99 IMPOSTORS",2020-10-09T00:16:14Z,UClarhNTgYk5wuztsunOx2Cw,The Pixel Kingdom,20,2020-10-13T00:00:00Z,among us|100 player|99 player|hack|cheat|multiplayer|funny|animation|victory|impostor,60668141,2111175,46810
"Jhoome Jo Pathaan Song | Shah Rukh Khan, Deepika | Vishal & Sheykhar, Arijit Singh, Sukriti, Kumaar",2022-12-22T05:30:09Z,UCbTLwN10NoCU4WDzLf1JMOA,YRF,10,2022-12-29T00:00:00Z,shah rukh khan|deepika padukone|pathaan song|pathaan new song|pathan movie songs|pathan song|pathan new song|jhoome jo pathaan song|jhume jo pathan song|shahrukh khan songs|shah rukh khan new songs|deepika padukone new songs|srk new songs|arijit singh songs|arijit singh new songs|vishal and sheykhar songs|shahrukh khan pathaan song|srk pathaan song|new party songs|new hindi song 2022|new bollywood song|new song 2022|शाहरुख खान|दीपिका पादुकोण|पठान,60588078,2020773,0
How Is He So Good At This? 😂🔊 #shorts,2021-12-19T15:20:15Z,UCoGForHQAmk0_9rI9CABeYw,Woody & Kleiny,24,2021-12-28T00:00:00Z,[None],60443386,3652556,0
"Asian Goodies 😱 Cool Gadgets! Home Cleaning Tools, New Inventions, unique Idea #shorts",2021-08-18T05:59:36Z,UC_bNKLwuCxOw68rAEOIYRlw,Asian Goodies,22,2021-08-29T00:00:00Z,[None],60435331,1199725,86827
IVE 아이브 'After LIKE' MV,2022-08-22T09:00:04Z,UCYDmx2Sfpnaxg488yBpZIGg,starshipTV,10,2022-08-26T00:00:00Z,Kpop|girl group|1theK|Starshiptv|starship|뮤비|티져|MV|Teaser|신곡|new|song|한류|idol|hallyu|ロエン|ミュージック|ミュージックビデオ|アイドル|韓流|韓国|아이돌|아이브|IVE|アイヴ|LOGO|MOTION|로고|유진|원영|가을|레이|리즈|이서|YUJIN|GAEUL|REI|WONYOUNG|LIZ|LEESEO|ユジン|ガウル|レイ|ウォニョン|リズ|イソ|After LIKE|애프터라이크|my satisfaction|티저|teaser|뮤직비디오|mv|music video|Iwillsurvive,60374750,1504614,0
When ur eating on the plane,2021-10-30T18:00:13Z,UC_k6e2PPDUnxEdMJC9Q044g,Adam W,23,2021-11-09T00:00:00Z,AdamW|Adam Waheed|Sketch comedy|room1041|youtube trending|comedy|skits|funny|lol|tik tok compilations|tik tok fails|tik tok memes|fail|tik tok|lele pons|hannah stocking|anwar|Youtube shorts|shorts|tik|tiktok|best tik toks|best tiktoks|best youtube shorts|best shorts,60372260,4764602,76662
"Shakira, Ozuna - Monotonía (Official Video)",2022-10-20T00:00:11Z,UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,10,2022-10-26T00:00:00Z,Shakira|Ozuna|Shakira Ozuna Monotonía|Shakira Ozuna|Monotonía Video|Monotonía Letra|Monotonía Lyrics|Shakira 2022|Ozuna 2022|Te Felicito|Latin Pop|Monotonía|Sony Music Latin,60352736,2748932,0
Jawan |Official Hindi Prevue |Shah Rukh Khan |Atlee |Nayanthara |Vijay Sethupathi |Deepika |Anirudh,2023-07-10T04:58:09Z,UCjJKg01HAP01xCLVhDmnLhw,Red Chillies Entertainment,24,2023-07-13T00:00:00Z,SRK|Shah rukh khan|shahruh khan|Srk movies|red chillies entertainment|Jawan trailer|Jawan teaser|Jawan preview|Jawan Prevue|#JawanTrailer #JawanTeaser #JawanPreview #JawanPrevue|Deepika Padukone|nayanthara|Atlee|SRK new film,60303927,1732981,0
